nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
mattermost/focalboard,https://github.com/mattermost/focalboard,15057,274,230,3584,1313.0,2318.0,Typescript,Tipada
justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,14975,22,6,488,4.0,106.0,Typescript,Tipada
airbnb/react-sketchapp,https://github.com/airbnb/react-sketchapp,14965,81,3,780,39.0,227.0,Typescript,Tipada
xtermjs/xterm.js,https://github.com/xtermjs/xterm.js,14911,264,0,8657,0.0,2201.0,Typescript,Tipada
graphql/graphiql,https://github.com/graphql/graphiql,14895,269,85,3643,118.0,2043.0,Typescript,Tipada
learn-anything/learn-anything,https://github.com/learn-anything/learn-anything,14805,5,0,5,0.0,9.0,Typescript,Tipada
verdaccio/verdaccio,https://github.com/verdaccio/verdaccio,14739,278,0,4921,0.0,2313.0,Typescript,Tipada
feathersjs/feathers,https://github.com/feathersjs/feathers,14587,211,2,3967,57.0,1053.0,Typescript,Tipada
cyrildiagne/ar-cutpaste,https://github.com/cyrildiagne/ar-cutpaste,14521,6,0,50,0.0,40.0,Typescript,Tipada
sass/sass,https://github.com/sass/sass,14494,26,4,526,236.0,715.0,Typescript,Tipada
lit/lit,https://github.com/lit/lit,14493,155,0,2043,0.0,1925.0,Typescript,Tipada
shadcn/ui,https://github.com/shadcn/ui,14467,48,2,128,2.0,186.0,Typescript,Tipada
umijs/qiankun,https://github.com/umijs/qiankun,14361,106,8,299,19.0,618.0,Typescript,Tipada
pavlobu/deskreen,https://github.com/pavlobu/deskreen,14139,20,32,252,21.0,70.0,Typescript,Tipada
umijs/umi,https://github.com/umijs/umi,13984,428,0,7097,3.0,3718.0,Typescript,Tipada
trufflesuite/truffle,https://github.com/trufflesuite/truffle,13891,250,47,15513,150.0,2870.0,Typescript,Tipada
baidu/amis,https://github.com/baidu/amis,13793,171,46,11203,87.0,3702.0,Typescript,Tipada
BrainJS/brain.js,https://github.com/BrainJS/brain.js,13716,99,18,1487,103.0,271.0,Typescript,Tipada
conventional-changelog/commitlint,https://github.com/conventional-changelog/commitlint,13713,210,32,2344,92.0,3080.0,Typescript,Tipada
foambubble/foam,https://github.com/foambubble/foam,13711,123,8,1036,179.0,584.0,Typescript,Tipada
formatjs/formatjs,https://github.com/formatjs/formatjs,13697,268,17,4635,532.0,2109.0,Typescript,Tipada
usememos/memos,https://github.com/usememos/memos,13663,100,36,1174,205.0,864.0,Typescript,Tipada
angular-ui/ui-router,https://github.com/angular-ui/ui-router,13635,187,0,2121,260.0,664.0,Typescript,Tipada
transitive-bullshit/chatgpt-api,https://github.com/transitive-bullshit/chatgpt-api,13555,126,0,848,1.0,218.0,Typescript,Tipada
rrweb-io/rrweb,https://github.com/rrweb-io/rrweb,13549,99,35,1146,53.0,483.0,Typescript,Tipada
transitive-bullshit/chatgpt-api,https://github.com/transitive-bullshit/chatgpt-api,13555,126,0,848,1.0,218.0,Typescript,Tipada
reduxjs/redux-devtools,https://github.com/reduxjs/redux-devtools,13501,107,11,1205,21.0,874.0,Typescript,Tipada
tldraw/tldraw,https://github.com/tldraw/tldraw,13495,118,9,1762,29.0,644.0,Typescript,Tipada
apollographql/apollo-server,https://github.com/apollographql/apollo-server,13353,531,0,8043,0.0,4862.0,Typescript,Tipada
typescript-eslint/typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,13328,515,97,3713,755.0,3415.0,Typescript,Tipada
pmndrs/jotai,https://github.com/pmndrs/jotai,13273,158,0,1181,30.0,866.0,Typescript,Tipada
signalapp/Signal-Desktop,https://github.com/signalapp/Signal-Desktop,13268,222,520,9199,539.0,1079.0,Typescript,Tipada
schickling/chromeless,https://github.com/schickling/chromeless,13236,46,14,559,13.0,140.0,Typescript,Tipada
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,13229,88,0,290,0.0,342.0,Typescript,Tipada
chartist-js/chartist,https://github.com/chartist-js/chartist,13183,66,3,962,66.0,279.0,Typescript,Tipada
expo/create-react-native-app,https://github.com/expo/create-react-native-app,13126,70,0,373,21.0,187.0,Typescript,Tipada
upscayl/upscayl,https://github.com/upscayl/upscayl,13099,13,20,376,32.0,36.0,Typescript,Tipada
wong2/chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13014,19,0,223,1.0,68.0,Typescript,Tipada
sindresorhus/got,https://github.com/sindresorhus/got,12989,182,12,1479,180.0,669.0,Typescript,Tipada
tinymce/tinymce,https://github.com/tinymce/tinymce,12932,234,279,25623,2641.0,2555.0,Typescript,Tipada
jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab,12891,485,450,25391,1473.0,7056.0,Typescript,Tipada
danilowoz/react-content-loader,https://github.com/danilowoz/react-content-loader,12876,45,0,281,5.0,162.0,Typescript,Tipada
