nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
rstacruz/nprogress,https://github.com/rstacruz/nprogress,25258,32,0,209.0,0.0,0.0,95.0
immerjs/immer,https://github.com/immerjs/immer,25214,174,0,1369.0,67.12083333333334,75.0,440.0
remy/nodemon,https://github.com/remy/nodemon,25199,160,3,1288.0,222.9668055555556,60.0,509.0
lovell/sharp,https://github.com/lovell/sharp,25167,183,1,1844.0,709.2336111111111,199.0,372.0
bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,24911,200,22,1988.0,168.9273611111111,62.0,626.0
nylas/nylas-mail,https://github.com/nylas/nylas-mail,24738,174,214,6116.0,754.7095833333333,434.0,255.0
fabricjs/fabric.js,https://github.com/fabricjs/fabric.js,24734,286,77,4686.0,543.9152777777778,658.0,2556.0
tj/commander.js,https://github.com/tj/commander.js,24645,178,1,1201.0,3028.76875,44.0,902.0
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,24313,777,0,9106.0,0.0,0.0,7989.0
swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui,23817,511,0,5601.0,628.6629166666667,527.0,3393.0
sampotts/plyr,https://github.com/sampotts/plyr,23632,180,20,2294.0,1243.09,131.0,534.0
hammerjs/hammer.js,https://github.com/hammerjs/hammer.js,23522,87,11,1199.0,3786.038611111111,11.0,250.0
feathericons/feather,https://github.com/feathericons/feather,23422,39,3,643.0,5110.301944444444,2.0,576.0
quasarframework/quasar,https://github.com/quasarframework/quasar,23421,633,0,12958.0,0.0,0.0,4408.0
rollup/rollup,https://github.com/rollup/rollup,23389,349,0,5254.0,0.0,0.0,1933.0
docsifyjs/docsify,https://github.com/docsifyjs/docsify,23379,174,25,1674.0,225.3502777777778,99.0,804.0
michalsnik/aos,https://github.com/michalsnik/aos,23369,19,3,259.0,962.6745833333332,12.0,136.0
vercel/pkg,https://github.com/vercel/pkg,23223,246,0,1135.0,2213.439305555556,18.0,282.0
pure-css/pure,https://github.com/pure-css/pure,22982,70,0,870.0,3799.072361111111,56.0,541.0
ramda/ramda,https://github.com/ramda/ramda,22963,316,5,2987.0,627.7873611111111,24.0,1734.0
dimsemenov/PhotoSwipe,https://github.com/dimsemenov/PhotoSwipe,22834,70,22,697.0,262.44069444444443,20.0,223.0
eslint/eslint,https://github.com/eslint/eslint,22620,950,28,8901.0,63.68111111111111,2622.0,6724.0
balderdashy/sails,https://github.com/balderdashy/sails,22562,240,24,7161.0,2290.0550000000003,134.0,926.0
ovity/octotree,https://github.com/ovity/octotree,22451,66,0,718.0,0.0,0.0,385.0
emberjs/ember.js,https://github.com/emberjs/ember.js,22450,819,63,22082.0,670.3040277777777,1195.0,10134.0
redux-saga/redux-saga,https://github.com/redux-saga/redux-saga,22443,320,9,1939.0,803.9825,40.0,873.0
facebookarchive/draft-js,https://github.com/facebookarchive/draft-js,22379,251,69,1201.0,1073.2147222222222,71.0,1363.0
lutzroeder/netron,https://github.com/lutzroeder/netron,22306,1,4,6705.0,6.614166666666667,216.0,162.0
zloirock/core-js,https://github.com/zloirock/core-js,22293,118,2,5204.0,8.199861111111112,40.0,321.0
localForage/localForage,https://github.com/localForage/localForage,22194,104,10,1124.0,539.0741666666667,25.0,372.0
OpenZeppelin/openzeppelin-contracts,https://github.com/OpenZeppelin/openzeppelin-contracts,22162,419,1,3171.0,1282.6177777777775,35.0,2505.0
Tencent/wepy,https://github.com/Tencent/wepy,22108,170,9,2454.0,575.7686111111111,51.0,692.0
bilibili/flv.js,https://github.com/bilibili/flv.js,22101,39,0,431.0,0.0,0.0,77.0
mochajs/mocha,https://github.com/mochajs/mocha,21993,484,0,3601.0,0.0,0.0,2045.0
goldfire/howler.js,https://github.com/goldfire/howler.js,21639,94,22,889.0,845.0102777777778,21.0,263.0
bevacqua/dragula,https://github.com/bevacqua/dragula,21524,40,10,366.0,307.2911111111111,17.0,189.0
jlmakes/scrollreveal,https://github.com/jlmakes/scrollreveal,21495,22,9,950.0,82.60430555555556,72.0,53.0
vuejs/vuepress,https://github.com/vuejs/vuepress,21492,428,0,2145.0,145.14666666666668,81.0,1216.0
highlightjs/highlight.js,https://github.com/highlightjs/highlight.js,21466,639,26,6508.0,25.777638888888887,493.0,1801.0
